New/Used,Stock #,Vehicle,Year,Make,Model,Body,"Drivetrain
 Type",Color,Odometer,Price,Age,VIN,Tags,Status
N,250356,2025 Ford Escape ST-Line,2025,Ford,Escape,4D Sport Utility,AWD,Star White Metallic Tri-Coat,3,"$34,469",184,1FMCU9MN7SUA81372,,
N,250332,2025 Ford Escape ST-Line,2025,Ford,Escape,4D Sport Utility,AWD,Star White Metallic Tri-Coat,4,"$33,918",192,1FMCU9MN4SUA82446,,
N,250392,2025 Ford Escape ST-Line,2025,Ford,Escape,4D Sport Utility,AWD,Star White Metallic Tri-Coat,4,"$35,591",169,1FMCU9MN4SUA80616,,
N,250393,2025 Ford Escape ST-Line Select,2025,Ford,Escape,4D Sport Utility,AWD,Carbonized Gray Metallic,2,"$35,342",136,1FMCU9NA5SUA95427,,
N,250421,2025 Ford Escape ST-Line Select,2025,Ford,Escape,4D Sport Utility,AWD,Star White Metallic Tri-Coat,4,"$36,234",160,1FMCU9NA3SUA98889,,
N,250420,2025 Ford Escape ST-Line Select,2025,Ford,Escape,4D Sport Utility,AWD,Star White Metallic Tri-Coat,17,"$34,449",136,1FMCU9NA0SUA98400,,
N,250781,2025 Ford Explorer Active,2025,Ford,Explorer,4D Sport Utility,4WD,Agate Black Metallic,53,"$45,133",6,1FMUK8DH2SGC46239,,
N,250783,2025 Ford Explorer Active,2025,Ford,Explorer,4D Sport Utility,4WD,Space White Metallic,73,"$45,636",2,1FMUK8DH7SGC44311,,
U,T7756P,2020 Ford Explorer ST,2020,Ford,Explorer,4D Sport Utility,4WD,Black,"88,599","$26,298",143,1FM5K8GC0LGC49548,,
N,250756,2025 Ford Explorer ST-Line,2025,Ford,Explorer,4D Sport Utility,4WD,Star White Metallic Tri-Coat,286,"$51,046",14,1FMUK8KH3SGC30229,,
U,T7779P,2020 Ford Explorer XLT,2020,Ford,Explorer,4D Sport Utility,4WD,Agate Black Metallic,"80,350","$20,975",113,1FMSK8DH1LGC08221,,
U,T7814P,2023 Ford Explorer XLT,2023,Ford,Explorer,4D Sport Utility,4WD,Star White Metallic Tri-Coat,"24,001","$33,758",43,1FMSK8DH8PGA25596,,
N,250759,2025 Ford F-150 Lariat,2025,Ford,F-150,4D SuperCrew,4WD,Agate Black Metallic,2,"$68,191",6,1FTFW5LD0SFC04267,,
N,250630,2025 Ford F-150 Lariat,2025,Ford,F-150,4D SuperCrew,4WD,Antimatter Blue Metallic,6,"$64,246",55,1FTFW5LD0SFB76292,,
N,250496,2025 Ford F-150 Lariat,2025,Ford,F-150,4D SuperCrew,4WD,Agate Black Metallic,25,"$67,165",84,1FTFW5LD5SFB41067,,
N,250671,2025 Ford F-150 STX,2025,Ford,F-150,Super Cab,4WD,Agate Black Metallic,6,"$46,473",15,1FTEX2LP7SKF01688,,
U,T250476A,2018 Ford F-150 XLT,2018,Ford,F-150,4D SuperCrew,4WD,Blue,"76,420","$24,474",56,1FTEW1EP8JFB69164,,
N,250581,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Carbonized Gray Metallic,6,"$56,437",70,1FTFW3LD4SFB03074,,
N,250387,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Agate Black Metallic,8,"$55,584",161,1FTEW3LP3SKD69084,,
N,250646,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Carbonized Gray Metallic,11,"$56,736",41,1FTFW3LD4SFB66384,,
N,250715,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Antimatter Blue Metallic,11,"$57,534",15,1FTFW3LD7SFB90808,,
N,250386,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Carbonized Gray Metallic,14,"$55,519",149,1FTEW3LP2SKD69027,,
N,250390,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Agate Black Metallic,15,"$55,519",164,1FTEW3LP4SKD74259,,
N,250704,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Antimatter Blue Metallic,21,"$57,079",28,1FTFW3LD9SFB66428,,
N,250585,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Antimatter Blue Metallic,31,"$56,114",70,1FTFW3LD8SFA21333,,
N,250247,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Carbonized Gray Metallic,39,"$63,188",206,1FTFW3LDXSFA33841,,
N,250194,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Iconic Silver Metallic,42,"$61,524",225,1FTEW3LP5SFA27418,,
N,250363,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Carbonized Gray Metallic,42,"$57,842",155,1FTFW3LD5SFA61529,,
N,250587,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Carbonized Gray Metallic,50,"$62,754",70,1FTFW3LD1SFA04843,,
N,250586,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Space White Metallic,52,"$62,203",64,1FTFW3LD7SFA08508,,
N,250257,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Iconic Silver Metallic,64,"$62,398",210,1FTFW3LD4SFA35973,,
N,250752,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Oxford White,68,"$53,964",15,1FTEW3LP6SKD54210,,
N,250664,2025 Ford F-150 XLT,2025,Ford,F-150,4D SuperCrew,4WD,Antimatter Blue Metallic,143,"$56,878",43,1FTFW3LD8SFA61024,,
N,250676,2025 Ford F-150 Lightning Flash,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Carbonized Gray Metallic,58,"$70,251",38,1FT6W3L76SWG04767,,
N,250673,2025 Ford F-150 Lightning Flash,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Antimatter Blue Metallic,61,"$68,884",38,1FT6W3L75SWG01360,,
N,250690,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Antimatter Blue Metallic,8,"$61,812",1,1FTVW3LK7SWG26504,,
N,250689,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Space White Metallic,10,"$61,812",0,1FTVW3LKXSWG26500,,
N,250710,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Oxford White,12,"$61,479",27,1FTVW3LK3SWG15774,,
N,250686,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Antimatter Blue Metallic,12,"$61,812",1,1FTVW3LK0SWG26473,,
N,250697,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Antimatter Blue Metallic,14,"$61,812",1,1FTVW3LKXSWG26691,,
N,250681,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Agate Black Metallic,23,"$60,753",1,1FTVW3LK6SWG22959,,
N,250782,2025 Ford F-150 Lightning XLT,2025,Ford,F-150 Lightning,4D Crew Cab,AWD,Carbonized Gray Metallic,166,"$64,061",6,1FTVW3LK0SWG24352,,
N,260000,2026 Ford F-350SD XL,2026,Ford,F-350SD,4D Crew Cab,4WD,Oxford White,15,"$58,093",3,1FT8W3BN9TEC17775,,
U,7766PA,2016 Ford Fusion SE,2016,Ford,Fusion,4D Sedan,FWD,Bronze,"140,292","$6,627",20,3FA6P0H77GR141350,bodyshop,
U,7825P,2019 Ford Fusion Hybrid Titanium,2019,Ford,Fusion Hybrid,4D Sedan,FWD,Blue,"46,316",,2,3FA6P0RU8KR208499,"Bodyshop,Detail,Photos,Service",
N,250685,2025 Ford Mustang GT Premium,2025,Ford,Mustang,2D Convertible,RWD,Shadow Black,2,"$59,674",13,1FAGP8FF2S5127204,,
N,250627,2025 Ford Mustang GT Premium,2025,Ford,Mustang,2D Convertible,RWD,Wimbledon White,2,"$65,121",0,1FAGP8FF2S5126778,,
U,T7823P,2021 Ford Mustang Mach-E GT,2021,Ford,Mustang Mach-E,4D Sport Utility,AWD,Rapid Red Metallic Tinted Clearcoat,"38,636","$28,848",16,3FMTK4SE1MMD99880,service,
N,250661,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Star White Metallic Tri-Coat,8,"$52,560",8,3FMTK3SU1SMA43816,,
N,250606,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Glacier Gray Metallic TriCoat,8,"$52,377",22,3FMTK3SU4SMA35824,,
N,250482,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Glacier Gray Metallic TriCoat,9,"$52,377",99,3FMTK3SU4SMA26816,,
N,250541,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Star White Metallic Tri-Coat,9,"$52,377",72,3FMTK3SU4SMA37220,,
N,250636,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Star White Metallic Tri-Coat,9,"$52,560",6,3FMTK3SU7SMA42430,,
N,250480,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Glacier Gray Metallic TriCoat,11,"$52,377",90,3FMTK3SU8SMA25295,,
N,250659,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Star White Metallic Tri-Coat,12,"$55,367",2,3FMTK3SU0SMA40454,,
N,250816,2025 Ford Mustang Mach-E Premium,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Star White Metallic Tri-Coat,18,"$54,936",2,3FMTK3SU8SMA31713,,
N,250757,2025 Ford Mustang Mach-E Select,2025,Ford,Mustang Mach-E,4D Sport Utility,AWD,Shadow Black,29,"$41,839",7,3FMTK1S58SMA13371,,
U,T7810P,2020 Ford Ranger XLT,2020,Ford,Ranger,4D Crew Cab,4WD,Rapid Red Metallic Tinted Clearcoat,"42,779","$29,651",50,1FTER4FH6LLA74851,,
U,T7789P,2021 Jeep Cherokee Limited,2021,Jeep,Cherokee,4D Sport Utility,4WD,Bright White Clearcoat,"42,839","$24,488",83,1C4PJMDX2MD243639,"outside-service,photos",
U,T7783P,2012 Jeep Liberty Sport,2012,Jeep,Liberty,4D Sport Utility,4WD,Deep Cherry Red Crystal Pearlcoat,"100,007","$7,487",98,1C4PJMAK3CW129676,,
U,7735P,2014 Lincoln MKT EcoBoost AWD,2014,Lincoln,MKT,4D Sport Utility,AWD,Tuxedo Black Metallic,"129,748","$8,368",181,2LMHJ5AT5EBL58447,,
